,date_of_fail,product_description,country_of_origin,producer_name,reason_for_fail,results,units,reference,food_category,test_applied,holding_order_number,category   ,result/s,category,test_applied/_reason_for_fail,results/units,results_/_units.1,result,results_in_mg_per_kg
366,2020-04-29,Sea tangle (kelp),Republic of Korea,Ottogi Ramyon Co Ltd,Iodine,3700.0,mg/kg,BSW 12/2016,Risk,Not Applied,,,,,,,,,3700.0
367,2020-04-29,,,,,,none,,Risk,Not Applied,,,,,,,,,
368,2020-04-29,,,,,,none,,Risk,Not Applied,,,,,,,,,
369,2020-04-29,,,,,,none,,Risk,Not Applied,,,,,,,,,
370,2020-04-03,Frozen spinach,India,Global Gourmet Pvt Ltd,Chlorpyrifos,0.31,mg/kg,FSC 1.4.2,Surveillance,Fruit and vegetable residue screen,HO match,,,,,,,,0.31
371,2020-04-03,Black eyed beans,United States,Columbia Bean And Produce Co Inc,Acephate,,mg/kg,FSC 1.4.2,Surveillance,Fruit and vegetable residue screen,15795,,,,,,,,
372,2020-04-01,Frozen red chillies,Vietnam,D&T Green Food Co Ltd,Difenoconazole,,mg/kg,FSC 1.4.2,Surveillance,Fruit and vegetable residue screen,15797,,,,,,,,
373,2020-04-07,Seedless tamarind,India,Sagar International,Lead,0.35,mg/kg,FSC 1.4.1,Surveillance,Lead,15806,,,,,,,,0.35
374,2020-04-16,Frozen spinach,India,Global Gourmet Pvt Ltd,Chlorpyrifos,0.38,mg/kg,FSC 1.4.2,Surveillance,Fruit and vegetable residue screen,HO match,,,,,,,,0.38
375,2020-04-17,Long beans,Fiji,Labasa Farm Fresh,Acephate,,mg/kg,FSC 1.4.2,Surveillance,Fruit and vegetable residue screen,15819,,,,,,,,
376,2020-04-17,Seasoned vinegar ponzu,Japan,Marukan Su Co Ltd (Japan),Additive colouring - Carthamus Yellow,,none,FSC 1.3.1,Surveillance,Composition,15822,,,,,,,,
377,2020-04-20,Shiso zuke ume (pickled plums),Japan,Nagayama Foods Factory Co Ltd,Vitamin B1,,none,FSC 1.3.2,Surveillance,Composition,15828,,,,,,,,
378,2020-04-20,Katsuo ume (pickled plums),Japan,Nagayama Foods Factory Co Ltd,Vitamin B1,,none,FSC 1.3.2,Surveillance,Composition,15828,,,,,,,,
379,2020-04-20,Hachimitsu ume (pickled plums),Japan,Nagayama Foods Factory Co Ltd,Vitamin B1,,none,FSC 1.3.2,Surveillance,Composition,15828,,,,,,,,
380,2020-04-23,Chilli fermented bean curd,China,Kaiping Guanghe Fermented Bean Curd Ltd,Bacillus cereus,,cfu/g,Imported Food Control Act section 3(2),Surveillance,Bacillus cereus,HO match,,,,,,,,
381,2020-04-23,White fermented bean curd,China,Kaiping Guanghe Fermented Bean Curd Ltd,Bacillus cereus,,cfu/g,Imported Food Control Act section 3(2),Surveillance,Bacillus cereus,HO match,,,,,,,,
382,2020-04-21,Pickled green olives ,Lebanon,Societe Robert Jabbour,Lead,0.16,mg/kg,FSC 1.4.1,Surveillance,Lead,15833,,,,,,,,0.16
383,2020-04-27,Black eyed beans,United States,Kirsten Company Llc,Chlorpyrifos,0.05,mg/kg,FSC 1.4.2,Surveillance,Fruit and vegetable residue screen,HO match,,,,,,,,0.05
384,2020-04-23,Margarine,Indonesia,Pt Unilever Indonesia Tbk,Vitamin B1,,none,FSC 1.3.2,Surveillance,Composition,HO match,,,,,,,,
385,2020-04-23,Wheat flour,Indonesia,Pt Indofood Cbp Sukses Makmur (Indonesia),Vitamin A,,none,FSC 1.3.2,Surveillance,Composition,15845,,,,,,,,
386,2020-04-29,Frozen spinach,India,Global Gourmet Pvt Ltd,Chlorpyrifos,0.76,mg/kg,FSC 1.4.2,Surveillance,Fruit and vegetable residue screen,HO match,,,,,,,,0.76
387,2020-04-28,Soymilk,Republic of Korea,Dr Chung's Food Co Ltd,Vitamin C,,none,FSC 1.3.2,Surveillance,Composition,15852,,,,,,,,
388,2020-04-28,Frozen dried longan,Thailand,Tanaya International Co LTD,Carbendazim,0.11,mg/kg,FSC 1.4.2,Surveillance,Fruit and vegetable residue screen,HO match,,,,,,,,0.11
389,2020-04-24,Frozen strawberries,Poland,Svz International,Carbendazim,0.1,mg/kg,FSC 1.4.2,Surveillance,Fruit and vegetable residue screen,15853,,,,,,,,0.1
390,2020-04-30,Strawberry jelly powder,Malaysia,Happy Grass Marketing Sdn Bhd,Additive E 127 (Erythrosine),,none,FSC 1.3.1,Surveillance,Composition,15861,,,,,,,,
391,2020-04-30,Grape jelly powder,Malaysia,Happy Grass Marketing Sdn Bhd,Additive E 127 (Erythrosine),,none,FSC 1.3.1,Surveillance,Composition,15861,,,,,,,,
392,2020-05-01,Crushed chilli,Sri Lanka,Cmb Lanka (Private) Limited,Salmonella,125.0,g,SPI 06/2019,Risk,Not Applied,,,,,,,,,1250000.0
393,2020-05-13,Agour goat cheese,France,Agour Distrib Sarl 64640 F64259100cee (Helette France),Listeria,125.0,g,CHE 07/2018,Risk,Not Applied,,,,,,,,,1250000.0
394,2020-05-13,Compostelle cheese,France,Agour Distrib Sarl 64640 F64259100cee (Helette France),Listeria,125.0,g,CHE 07/2018,Risk,Not Applied,,,,,,,,,1250000.0
395,2020-05-13,Chalosse cheese,France,Agour Distrib Sarl 64640 F64259100cee (Helette France),Listeria,125.0,g,CHE 07/2018,Risk,Not Applied,,,,,,,,,1250000.0
396,2020-05-18,Frozen cooked vannamei prawns,Thailand,Top Product Food Co. Ltd.,Standard plate count,,cfu/g,CRU 03/2019,Risk,Not Applied,,,,,,,,,
397,2020-05-06,Dried Kelawalla Fish,Sri Lanka,St Anne's Enterprises (Sri Lanka),Histamine,660.0,mg/kg,HIS 12/2016,Risk,Not Applied,,,,,,,,,660.0
398,2020-05-06,Dried Kelawalla Fish,Sri Lanka,D & R Exports Pvt Ltd,Histamine,2200.0,mg/kg,HIS 12/2016,Risk,Not Applied,,,,,,,,,2200.0
399,2020-05-06,Dried Balaya Fish,Sri Lanka,D & R Exports Pvt Ltd,Histamine,3600.0,mg/kg,HIS 12/2016,Risk,Not Applied,,,,,,,,,3600.0
400,2020-05-06,Maldive fish chips,Sri Lanka,D & R Exports Pvt Ltd,Histamine,230.0,mg/kg,HIS 12/2016,Risk,Not Applied,,,,,,,,,230.0
401,2020-05-06,Dried mackerel shavings,Japan,Fukushima Katsuo Co Ltd,Histamine,520.0,mg/kg,HIS 12/2016,Risk,Not Applied,,,,,,,,,520.0
402,2020-05-12,Roasted kelp,China,Luoyuan Jiazhiwei Food Co Ltd,Iodine,3500.0,mg/kg,BSW 12/2016,Risk,Not Applied,,,,,,,,,3500.0
403,2020-05-13,Salted peanuts,India,Bikaji Foods International Pty Ltd,Aflatoxin,0.031,mg/kg,NUT 11/2018,Risk,Not Applied,,,,,,,,,0.031
404,2020-05-13,Garlic coated peanuts,Indonesia,Pt Garuda Putraputri Jaya (Indonesia),Aflatoxin,0.02,mg/kg,NUT 11/2018,Risk,Not Applied,,,,,,,,,0.02
405,2020-05-19,Hijiki seaweed powder,China,Focusherb Corp,Inorganic arsenic,4.2,mg/kg,HJS 10/2016,Risk,Not Applied,,,,,,,,,4.2
406,2020-05-19,Dried seaweed,China,Guangdong Shengfeng Limited Company,Iodine,2800.0,mg/kg,BSW 12/2016,Risk,Not Applied,,,,,,,,,2800.0
407,2020-05-19,Dried seaweed,China,Guangdong Shengfeng Limited Company,Iodine,3700.0,mg/kg,BSW 12/2016,Risk,Not Applied,,,,,,,,,3700.0
408,2020-05-19,Dried kelp,China,Fuzhou Hailin Food Co,Iodine,2500.0,mg/kg,BSW 12/2016,Risk,Not Applied,,,,,,,,,2500.0
409,2020-05-29,Medan peanuts,Indonesia,Pt Rasa Sayang Ais Krim,Aflatoxin,0.043,mg/kg,NUT 11/2018,Risk,Not Applied,,,,,,,,,0.043
410,2020-05-29,,,,,,none,,Risk,Not Applied,,,,,,,,,
411,2020-05-29,,,,,,none,,Risk,Not Applied,,,,,,,,,
412,2020-05-05,Fresh sugar snap peas,China,Guangzhou Linqi Trading Co Ltd,"Procymidone 
Thiamethoxam",,mg/kg,FSC 1.4.2,Surveillance,Fruit and vegetable residue screen,HO match,,,,,,,,
413,2020-05-01,Brown sultanas,India,Khajanchi Exports (Mumbai India),Carbendazim,0.94,mg/kg,FSC 1.4.2,Surveillance,Fruit and vegetable residue screen,15860,,,,,,,,0.94
414,2020-05-01,Seasoned vinegar,Japan,"Marukan Vinegar Co., Ltd",Additive colouring - Carthamus Yellow,,none,FSC 1.3.1,Surveillance,Composition,15870,,,,,,,,
415,2020-05-05,Mixed fruit jam,India,Spectrum International,Vitamin B3,,none,FSC 1.3.2,Surveillance,Composition,15875,,,,,,,,
416,2020-05-05,Instant drink mix powder  orange flavour,India,Spectrum International,"Vitamin K, Copper and Biotin",,none,FSC 1.3.2,Surveillance,Composition,15876,,,,,,,,
417,2020-05-05,Instant drink mix powder  lemon flavour,India,Spectrum International,"Vitamin K, Copper and Biotin",,none,FSC 1.3.2,Surveillance,Composition,15876,,,,,,,,
418,2020-05-05,Instant drink mix powder  mango flavour,India,Spectrum International,"Vitamin K, Copper and Biotin",,none,FSC 1.3.2,Surveillance,Composition,15876,,,,,,,,
419,2020-05-05,Fresh chilled mango,Vietnam,"Dt-Pro Co., Ltd",Cypermethrin,0.093,mg/kg,FSC 1.4.2,Surveillance,Fruit and vegetable residue screen,15877,,,,,,,,0.093
420,2020-05-05,Cereal  chocolate and banana flavour,Japan,Calbee,Vitamin B1,,none,FSC 1.3.2,Surveillance,Composition,15880,,,,,,,,
421,2020-05-05,Cereal - Granola,Japan,Calbee,Vitamin B1,,none,FSC 1.3.2,Surveillance,Composition,15880,,,,,,,,
422,2020-05-05,Cereal  walnut and apple maple,Japan,Calbee,Vitamin B1,,none,FSC 1.3.2,Surveillance,Composition,15880,,,,,,,,
423,2020-05-11,Mini rice balls,Taiwan,Sunny Winkel Co Ltd,Additive E 127 (Erythrosine),,none,FSC 1.3.1,Surveillance,Composition,15884,,,,,,,,
424,2020-05-06,Frozen Chinese spinach,China,Shanghai Xushun Foodstuff Co Ltd,Carbendazim,,mg/kg,FSC 1.4.2,Surveillance,Fruit and vegetable residue screen,HO match,,,,,,,,
425,2020-05-11,Fresh oranges,United States,Wonderful Citrus,Tebuconazole,0.24,mg/kg,FSC 1.4.2,Surveillance,Fruit and vegetable residue screen,15894,,,,,,,,0.24
426,2020-05-07,Pineapple juice,Philippines,Del Monte Philippines Inc (Philippines),Vitamin E,,none,FSC 1.3.2,Surveillance,Composition,HO match,,,,,,,,
427,2020-05-13,Frozen Chinese spinach,China,Shanghai Xushun Foodstuff Co Ltd,Cyhalothrin,,mg/kg,FSC 1.4.2,Surveillance,Fruit and vegetable residue screen,HO match,,,,,,,,
428,2020-05-13,Frozen Chinese spinach,China,Shanghai Xushun Foodstuff Co Ltd,Chlorpyrifos,0.022,mg/kg,FSC 1.4.2,Surveillance,Fruit and vegetable residue screen,HO match,,,,,,,,0.022
429,2020-05-13,Baby okra,India,Global Gourmet Pvt Ltd,Cyhalothrin,0.012,mg/kg,FSC 1.4.2,Surveillance,Fruit and vegetable residue screen,HO match,,,,,,,,0.012
430,2020-05-13,Dried longan pulp,China,Hong Kong Sing Hung Food Co,Carbendazim,,mg/kg,FSC 1.4.2,Surveillance,Fruit and vegetable residue screen,15899,,,,,,,,
431,2020-05-13,Dried hawthorn fruit,China,Guangdong Zhongshan Guzhen Li Hua Nong Fu Factory,Carbendazim,,mg/kg,FSC 1.4.2,Surveillance,Fruit and vegetable residue screen,15905,,,,,,,,
432,2020-05-13,Chinese dates ,China,"Botou Huayang Jujube Industry Co., Ltd",Difenoconazole,,mg/kg,FSC 1.4.2,Surveillance,Fruit and vegetable residue screen,15906,,,,,,,,
433,2020-05-13,Jujube dates,China,"Botou Huayang Jujube Industry Co., Ltd",Cypermethrin,,mg/kg,FSC 1.4.2,Surveillance,Fruit and vegetable residue screen,15906,,,,,,,,
434,2020-05-18,Frozen spinach,India,Global Gourmet Pvt Ltd,Chlorpyrifos,,mg/kg,FSC 1.4.2,Surveillance,Fruit and vegetable residue screen,HO match,,,,,,,,
435,2020-05-20,Toor dhal,Myanmar,Ays Mfg Co Ltd,Chlorpyrifos,0.027,mg/kg,FSC 1.4.2,Surveillance,Fruit and vegetable residue screen,HO match,,,,,,,,0.027
436,2020-05-20,Mung dhal,Myanmar,Ays Mfg Co Ltd,Chlorpyrifos,0.042,mg/kg,FSC 1.4.2,Surveillance,Fruit and vegetable residue screen,HO match,,,,,,,,0.042
437,2020-05-21,Seasoned pollock roe,Republic of Korea,Daesang Corporation,Vitamin C,,none,FSC 1.3.2,Surveillance,Composition,15917,,,,,,,,
438,2020-05-28,Roasted betel nut,Myanmar,Ausi Myanmar Company Limited,Betel nut (Areca catechu),,none,FSC 1.4.4,Surveillance,Composition,15932,,,,,,,,
439,2020-05-28,Pickled plums,Japan,Nagayama Foods Factory,Vitamin B1,,none,FSC 1.3.2,Surveillance,Composition,HO match,,,,,,,,
440,2020-05-26,Frozen Chinese spinach,China,Shanghai Xushun Foodstuff Co Ltd,Paclobutrazol,0.013,mg/kg,FSC 1.4.2,Surveillance,Fruit and vegetable residue screen,HO match,,,,,,,,0.013
441,2020-05-29,Betel nut,Myanmar,Shwe Myanmar Investment And Commercial Co Ltd,Areca catechu (Betel nut),,none,FSC 1.4.4,Surveillance,Composition,15939,,,,,,,,
442,2020-05-29,Salted plums,Taiwan,"Shun Tai Food Co., Ltd",Lead,0.15,mg/kg,FSC 1.4.1,Surveillance,Lead,HO match,,,,,,,,0.15
443,2020-05-29,Salted plums,Taiwan,"Shun Tai Food Co., Ltd",Lead,0.18,mg/kg,FSC 1.4.1,Surveillance,Lead,HO match,,,,,,,,0.18
444,2020-05-01,Chilli prawn crackers,Singapore,Cheong Fatt Food Manufactory Pte Ltd,Additive (210) Benzoic acid,,none,FSC 1.3.1,Surveillance,Composition,n/a*,,,,,,,,
445,2020-05-26,Betel nut,Papua New Guinea,Shoreline Agri Supplies,Areca catechu (Betel nut),,none,FSC 1.4.4,Surveillance,Composition,15957,,,,,,,,
446,2020-05-26,Betel nut,Papua New Guinea,MAGDALINE MAINO,Areca catechu (Betel nut),,none,FSC 1.4.4,Surveillance,Composition,15954,,,,,,,,
447,2020-05-26,Betel nut,Papua New Guinea,COLIN LANG TIMOTHY HO-LEONG,Areca catechu (Betel nut),,none,FSC 1.4.4,Surveillance,Composition,15955,,,,,,,,
448,2020-05-26,Betel nut,Papua New Guinea,MAGDALINE MAINO,Areca catechu (Betel nut),,none,FSC 1.4.4,Surveillance,Composition,15927,,,,,,,,
449,2020-05-08,Preserved vegetarian beancurd with chilli,China,Gui Yang Nanming Laoganma Flavoured Food Co Ltd (China),Bacillus cereus,,cfu/g,Imported Food Control Act sectin 3(2),Surveillance,Bacillus cereus,15882,,,,,,,,
450,2020-05-11,Fermented bean curd,China,Xiangshan Industry Co Ltd,Bacillus cereus,,cfu/g,Imported Food Control Act sectin 3(2),Surveillance,Bacillus cereus,15883,,,,,,,,
451,2020-05-11,Spicy fermented bean curd,China,Xiangshan Industry Co Ltd,Bacillus cereus,,cfu/g,Imported Food Control Act sectin 3(2),Surveillance,Bacillus cereus,15883,,,,,,,,
452,2020-06-10,Peanut brittle,Pakistan,Oasis Corporation,Aflatoxin,0.028,mg/kg,NUT 11/2018,Risk,Not Applied,,,,,,,,,0.028
453,2020-06-08,Frozen cooked peeled prawns,Thailand,Lee Heng Seafood Co Ltd (Establishment 1177),Standard plate count,,cfu/g,CRU 03/2019,Risk,Not Applied,,,,,,,,,
454,2020-06-11,Maldive fish chips,Sri Lanka,Derana Marketing Services Pvt Ltd,Histamine,580.0,mg/kg,HIS 12/2016,Risk,Not Applied,,,,,,,,,580.0
455,2020-06-11,Smoked salmon,Poland,Bg Production Sp Zoo,Listeria,125.0,g,FSH 07/2018,Risk,Not Applied,,,,,,,,,1250000.0
456,2020-06-12,Bonito flakes,Japan,Kaneshichi Co Ltd,Histamine,519.0,mg/kg,HIS 12/2016,Risk,Not Applied,,,,,,,,,519.0
457,2020-06-16,Cassava chips,Indonesia,Pt.Arira Pangindo,Hydrocyanic acid,12.0,mg/kg,CAS 09/2019,Risk,Not Applied,,,,,,,,,12.0
458,2020-06-16,Cassava chips,Indonesia,Pt.Arira Pangindo,Hydrocyanic acid,15.0,mg/kg,CAS 09/2019,Risk,Not Applied,,,,,,,,,15.0
459,2020-06-12,Seaweed,China,Fuzhou Hailin Food Co Ltd,Iodine,2600.0,mg/kg,BSW 12/2016,Risk,Not Applied,,,,,,,,,2600.0
460,2020-06-22,Compostelle cheese,France,Agour Distrib Sarl 64640 F64259100cee (Helette France),Listeria,125.0,g,CHE 07/2018,Risk,Not Applied,,,,,,,,,1250000.0
461,2020-06-24,Salted peanuts,China,"Dongguan City Shaerge Food Co., Ltd",Aflatoxin,0.25,mg/kg,NUT 11/2018,Risk,Not Applied,,,,,,,,,0.25
462,2020-06-22,Frozen mussel meat,Chile,Blue Shell S.A.,E. coli,,mpn/g,MOL 04/2017,Risk,Not Applied,,,,,,,,,
463,2020-06-25,Maldive fish chips,Sri Lanka,Derana Marketing Services Pvt Ltd,Histamine,300.0,mg/kg,HIS 12/2016,Risk,Not Applied,,,,,,,,,300.0
464,2020-06-29,Peanut candy ball,India,Malabar Natural Foods Pvt Ltd,Aflatoxin,0.156,mg/kg,NUT 11/2018,Risk,Not Applied,,,,,,,,,0.156
465,2020-06-29,Peanut candy bar,India,Malabar Natural Foods Pvt Ltd,Aflatoxin,0.019,mg/kg,NUT 11/2018,Risk,Not Applied,,,,,,,,,0.019
466,2020-06-24,Honey,Turkey,Balparmak Gida & Sekerleme,Reducing sugars,58.0,none,FSC 2.8.2,Risk,Not Applied,,,,,,,,,58.0
467,2020-06-24,,,,,,none,,Risk,Not Applied,,,,,,,,,
468,2020-06-24,,,,,,none,,Risk,Not Applied,,,,,,,,,
469,2020-06-03,Canned yellow peaches,Republic of Korea,Sempio Food Company (Korea),Lead,0.14,mg/kg,FSC 1.4.1,Surveillance,Lead,15952,,,,,,,,0.14
470,2020-06-03,Frozen sesbania flowers,Vietnam,Saka Saka Company Limited,Chlorpyrifos,0.066,mg/kg,FSC 1.4.2,Surveillance,Fruit and vegetable residue screen,15960,,,,,,,,0.066
471,2020-06-10,Lemon soft drink,Republic of Korea,Kyungnampharm Co Ltd,Vitamin C,,none,FSC 1.3.2,Surveillance,Composition,15963,,,,,,,,
472,2020-06-03,Pickled turnip,Lebanon,Jean Raad for Industries and Trade,Additive E 127 (Erythrosine),,none,FSC 1.3.1,Surveillance,Composition,15969,,,,,,,,
473,2020-06-11,Frozen small red chillies,Vietnam,Nam Hai Company Ltd,Hexaconazole,0.051,mg/kg,FSC 1.4.2,Surveillance,Fruit and vegetable residue screen,HO match,,,,,,,,0.051
474,2020-06-12,Urad dal (black lentils),Myanmar,Ays Mfg Co Ltd,Chlorpyrifos,0.033,mg/kg,FSC 1.4.2,Surveillance,Fruit and vegetable residue screen,15985,,,,,,,,0.033
475,2020-06-12,Tomato sauce,China,Dongguanshi Yongyi Food Co Ltd,Additive E 127 (Erythrosine),,none,FSC 1.3.1,Surveillance,Composition,15986,,,,,,,,
476,2020-06-12,Chinese spinach,China,Shanghai Xushun Foodstuff Co Ltd,Carbendazim,0.08,mg/kg,FSC 1.4.2,Surveillance,Fruit and vegetable residue screen,HO match,,,,,,,,0.08
477,2020-06-12,Chinese spinach,China,Shanghai Xushun Foodstuff Co Ltd,Carbendazim,0.22,mg/kg,FSC 1.4.2,Surveillance,Fruit and vegetable residue screen,HO match,,,,,,,,0.22
478,2020-06-12,Sliced lotus root ,China,Fujian Ningde Yongjia Trade Co Ltd,Vitamin C,,none,FSC 1.3.1,Surveillance,Composition,16015,,,,,,,,
479,2020-06-12,Cut lotus root,China,Fujian Ningde Yongjia Trade Co Ltd,Vitamin C,,none,FSC 1.3.1,Surveillance,Composition,16015,,,,,,,,
480,2020-06-24,Fresh onion flowers,China,Guangzhou Linqi Trading Co Ltd,Cyhalothrin,0.1,mg/kg,FSC 1.4.2,Surveillance,Fruit and vegetable residue screen,16023,,,,,,,,0.1
481,2020-06-23,Frozen grated small red chillies,Vietnam,Nam Hai Company Ltd,Difenoconazole,0.09,mg/kg,FSC 1.4.2,Surveillance,Fruit and vegetable residue screen,HO match,,,,,,,,0.09
482,2020-06-15,Fresh garlic roots ,China,Jining New Silk Road Food Co Ltd,Carbendazaim,0.1,mg/kg,FSC 1.4.2,Surveillance,Fruit and vegetable residue screen,16028,,,,,,,,0.1
483,2020-06-24,Rice cake,Japan,Kyoshin Seika,Colour additives safflower yellow and gardenia blue ,,none,FSC 1.3.1,Surveillance,Composition,16032,,,,,,,,
484,2020-06-24,Rice cake,Japan,Kyoshin Seika,Colour additive gardenia blue ,,none,FSC 1.3.1,Surveillance,Composition,16032,,,,,,,,
485,2020-06-26,Preserved bean curd,China,Royi (Hk) Industrial Co Ltd,Bacillus cereus,,cfu/g,Imported Food Control Act section 3(2),Surveillance,Bacillus cereus,16037,,,,,,,,
486,2020-06-26,,,,,,none,,Surveillance,Not Applied,,,,,,,,,
487,2020-06-26,,,,,,none,,Surveillance,Not Applied,,,,,,,,,
488,2020-06-26,Frozen shredded Chinese spinach,China,Shanghai Xushun Foodstuff Co Ltd,Carbendazim,0.28,mg/kg,FSC 1.4.2,Surveillance,Fruit and vegetable residue screen,HO match,,,,,,,,0.28
489,2020-06-26,Frozen shredded Chinese spinach,China,Shanghai Xushun Foodstuff Co Ltd,Carbendazim,0.14,mg/kg,FSC 1.4.2,Surveillance,Fruit and vegetable residue screen,HO match,,,,,,,,0.14
490,2020-06-29,Preserved chilli bean curd,China,"Lihuajin Co., Limited",Bacillus cereus,,cfu/g,Imported Food Control Act section 3(2),Surveillance,Bacillus cereus,16048,,,,,,,,
491,2020-06-19,Hot and spicy tuna,Philippines ,Century Pacific Group,Vitamin A,,none,FSC 1.3.2,Surveillance,Composition,n/a*,,,,,,,,
492,2020-06-09,Formulated supplementary sports food,United States,Dynamic Nutraceuticals,Dynamine,,none,FSC 1.5.1,Surveillance,Composition,n/a*,,,,,,,,
493,2020-07-08,Cooked crawfish tail,China,Guolian Yiyang Food Co Ltd,Listeria,125.0,g,CRU 03/2019,Risk,Not Applied,,,,,,,,,1250000.0
494,2020-07-08,,,,,,none,,Risk,Not Applied,,,,,,,,,
495,2020-07-08,Cooked crawfish tail,China,Guolian Yiyang Food Co Ltd,Standard plate count,,cfu/g,CRU 03/2019,Risk,Not Applied,,,,,,,,,
496,2020-07-08, Sheep milk cured cheese ,Portugal,Lacticinios Do Paiva Sa,Listeria,125.0,g,CHE 07/2018,Risk,Not Applied,,,,,,,,,1250000.0
497,2020-07-08,,,,,,none,,Risk,Not Applied,,,,,,,,,
498,2020-07-10,Salted anchovies,Philippines,P.O.P Export Trading,Histamine,350.0,mg/kg,HIS 12/2016,Risk,Not Applied,,,,,,,,,350.0
499,2020-07-15,Keeramin,Sri Lanka,St Annes Enterprises (Sri Lanka),Histamine,470.0,mg/kg,HIS 12/2016,Risk,Not Applied,,,,,,,,,470.0
500,2020-07-15,(dried fish),,,,,none,,Risk,Not Applied,,,,,,,,,
501,2020-07-16,Roasted bhujia (roasted peanuts),India,Jay Keshav Exports Pvt Ltd,Aflatoxin,0.052,mg/kg,NUT 11/2018,Risk,Not Applied,,,,,,,,,0.052
502,2020-07-30,Kashmiri chilli powder,India,Synthite Industries Ltd,Salmonella,125.0,,SPI 06/2019,Risk,Not Applied,,,,,,,,,125.0
503,2020-07-30,Tapioca chips,India,Bakemill Foods Intl,Hydrocyanic Acid,15.0,mg/kg,CAS 09/2016,Risk,Not Applied,,,,,,,,,15.0
504,2020-07-30,Tapioca chips,India,Bakemill Foods Intl,Hydrocyanic Acid,21.0,mg/kg,CAS 09/2016,Risk,Not Applied,,,,,,,,,21.0
505,2020-07-30,,,,,,none,,Risk,Not Applied,,,,,,,,,
506,2020-07-30,,,,,,none,,Risk,Not Applied,,,,,,,,,
507,2020-07-01,Door dal ,India,Batra Enterprises,Chlorpyrifos,0.013,mg/kg,,Surveillance,Fruit and vegetable residue screen,16117,,,,,,,,0.013
508,2020-07-01,(peas),,,,,none,FSC 1.4.2,Surveillance,Not Applied,,,,,,,,,
509,2020-07-01,Moong dhuli (lentils),India,Batra Enterprises,Chlorpyrifos,0.121,mg/kg,FSC 1.4.2,Surveillance,Fruit and vegetable residue screen,16116,,,,,,,,0.121
510,2020-07-01,Frozen vegetable tindora,India,Parayil Food Products,Acephate,0.174,mg/kg,FSC 1.4.2,Surveillance,Fruit and vegetable residue screen,16084,,,,,,,,0.174
511,2020-07-01,,,,,,none,,Surveillance,Not Applied,,,,,,,,,
512,2020-07-01,Frozen vegetable tindora,India,Parayil Food Products,Monocrotophos,0.21,mg/kg,FSC 1.4.2,Surveillance,Fruit and vegetable residue screen,16084,,,,,,,,0.21
513,2020-07-02,Betel nut,India,Jay Keshav Exports Pvt Ltd,Areca catechu,,none,FSC 1.4.4,Surveillance,Composition,16079,,,,,,,,
514,2020-07-02,,,, (Betel nut),,none,,Surveillance,Not Applied,,,,,,,,,
515,2020-07-06,Cocoa powder ,Japan,Ajigen Co.Ltd,Vitamin B1,,none,FSC 1.3.2,Surveillance,Composition,16078,,,,,,,,
516,2020-07-06,Cocoa powder,Japan,Morinaga Co Ltd (Japan),Vitamin B1,,none,FSC 1.3.2,Surveillance,Composition,16120,,,,,,,,
517,2020-07-08,Gluten free corn flakes,Italy,Dr Schar Ag/Spa,Vitamin B1,,none,FSC 1.3.2,Surveillance,Composition,16081,,,,,,,,
518,2020-07-08,Roasted split betel nut,Thailand,"Mae Khem.,Ltd",Areca catechu (Betel Nut),,none,FSC 1.4.4,Surveillance,Composition,16083,,,,,,,,
519,2020-07-08,Pickled plum,Japan,Nagayama Foods Factory Co Ltd,Vitamin B1,,none,FSC 1.3.2,Surveillance,Composition,HO match,,,,,,,,
520,2020-07-08,(Shiso Zuke Ume) ,,,,,none,,Surveillance,Not Applied,,,,,,,,,
521,2020-07-08,,,,,,none,,Surveillance,Not Applied,,,,,,,,,
522,2020-07-09,Blackberry juice concentrate organic,Germany,Dohler Neuenkirche N Gmbh,Paclobutrazol,0.017,mg/kg,FSC 1.4.2,Surveillance,Fruit and vegetable residue screen,16088,,,,,,,,0.017
523,2020-07-10,Blackeye beans,United States of America,Kirsten Company Llc,Chlorpyrifos,0.12,mg/kg,FSC 1.4.2,Surveillance,Fruit and vegetable residue screen,HO match,,,,,,,,0.12
524,2020-07-10,Coconut candy,China,"Baoding City Jiakang Food Co., Ltd",Vitamin C,,none,FSC 1.3.2,Surveillance,Composition,16089,,,,,,,,
525,2020-07-10,Canned yellow peach ,China,"Baoding City Jiakang Food Co., Ltd",Vitamin C,,none,FSC 1.3.2,Surveillance,Composition,16092,,,,,,,,
526,2020-07-10, Canned coconut,China,,Vitamin C,,none,FSC 1.3.2,Surveillance,Composition,16092,,,,,,,,
527,2020-07-10,,,"Baoding City Jiakang Food Co., Ltd",,,none,,Surveillance,Not Applied,,,,,,,,,
528,2020-07-10,,,,,,none,,Surveillance,Not Applied,,,,,,,,,
529,2020-07-10,Calorie bar,Republic of Korea,Haitai Pacific Corp,Vitamin C,,none,FSC 1.3.2,Surveillance,Composition,16094,,,,,,,,
530,2020-07-13,Betel nut,Papua New Guinea,,Areca catechu,,none,FSC 1.4.4,Surveillance,Composition,HO match,,,,,,,,
531,2020-07-13,,,Magdaline Maino, (Betel nut),,none,,Surveillance,Not Applied,,,,,,,,,
532,2020-07-13,,,,,,none,,Surveillance,Not Applied,,,,,,,,,
533,2020-07-13,,,,,,none,,Surveillance,Not Applied,,,,,,,,,
